episode,episode_steps,highest_score,max_tile
565,239,2848.0,256.0
566,466,5268.0,512.0
567,233,2508.0,256.0
568,200,2308.0,256.0
569,307,3104.0,256.0
570,141,1376.0,128.0
571,209,2312.0,256.0
572,166,1672.0,128.0
573,207,1592.0,128.0
574,289,3080.0,256.0
575,311,3116.0,256.0
576,192,2276.0,256.0
577,535,6896.0,512.0
578,139,1300.0,128.0
579,471,4460.0,512.0
580,281,3028.0,256.0
581,540,5220.0,512.0
582,261,3252.0,256.0
583,322,2988.0,256.0
584,225,2968.0,256.0
585,86,240.0,32.0
586,420,3128.0,256.0
587,375,5188.0,512.0
588,404,5268.0,512.0
589,449,6212.0,512.0
590,162,1896.0,128.0
591,230,2960.0,256.0
592,470,6360.0,512.0
593,146,1412.0,128.0
594,177,1356.0,128.0
595,294,3168.0,256.0
596,237,2620.0,256.0
597,140,1256.0,128.0
598,244,3016.0,256.0
599,236,2952.0,256.0
600,450,2620.0,256.0
601,505,6188.0,512.0
602,228,2784.0,256.0
603,273,3224.0,256.0
604,564,6604.0,512.0
605,528,5212.0,512.0
606,365,4832.0,512.0
607,369,4420.0,512.0
608,193,2300.0,256.0
609,334,3104.0,256.0
610,434,4320.0,256.0
611,237,2280.0,256.0
612,385,5248.0,512.0
613,191,1540.0,128.0
614,307,4564.0,512.0
615,255,2432.0,256.0
616,580,5616.0,512.0
617,161,1408.0,128.0
618,275,3004.0,256.0
619,248,2672.0,256.0
620,283,2972.0,256.0
621,226,2488.0,256.0
622,307,3212.0,256.0
623,258,2572.0,256.0
624,471,3796.0,256.0
625,817,6792.0,512.0
626,368,3468.0,256.0
627,438,5012.0,512.0
628,279,2532.0,256.0
629,297,3144.0,256.0
630,402,4788.0,512.0
631,242,2368.0,256.0
632,427,3284.0,256.0
633,280,2900.0,256.0
634,579,6184.0,512.0
635,430,5492.0,512.0
636,265,2808.0,256.0
637,614,6712.0,512.0
638,240,3032.0,256.0
639,325,2584.0,256.0
640,238,2440.0,256.0
641,289,3060.0,256.0
642,174,1464.0,128.0
643,301,3728.0,256.0
644,299,3220.0,256.0
645,429,5132.0,512.0
646,262,2768.0,256.0
647,216,2472.0,256.0
648,451,5372.0,512.0
649,300,3064.0,256.0
650,247,2984.0,256.0
651,510,3516.0,256.0
652,271,3300.0,256.0
653,484,3448.0,256.0
654,493,5436.0,512.0
655,464,5764.0,512.0
656,249,2896.0,256.0
657,182,1404.0,128.0
658,366,4640.0,512.0
659,477,4436.0,256.0
660,418,3016.0,256.0
661,584,6224.0,512.0
662,294,2388.0,256.0
663,328,3084.0,256.0
664,286,2764.0,256.0
665,317,3080.0,256.0
666,161,1504.0,128.0
667,207,2292.0,256.0
668,201,1400.0,128.0
669,282,2056.0,128.0
670,494,3536.0,256.0
671,447,5412.0,512.0
672,395,3140.0,256.0
673,255,3056.0,256.0
674,167,1308.0,128.0
675,291,2856.0,256.0
676,188,992.0,64.0
677,201,2412.0,256.0
678,299,3104.0,256.0
679,304,3388.0,256.0
680,419,5292.0,512.0
681,331,2764.0,256.0
682,502,6432.0,512.0
683,470,6224.0,512.0
684,401,4932.0,512.0
685,432,5264.0,512.0
686,112,1096.0,128.0
687,200,1932.0,128.0
688,219,2004.0,128.0
689,436,3100.0,256.0
690,425,5228.0,512.0
691,654,6200.0,512.0
692,449,5016.0,512.0
693,266,3452.0,256.0
694,152,1364.0,128.0
695,179,2224.0,256.0
696,472,6420.0,512.0
697,517,3692.0,256.0
698,194,1716.0,128.0
699,452,3252.0,256.0
700,682,10336.0,1024.0
701,192,1552.0,128.0
702,305,3044.0,256.0
703,164,1532.0,128.0
704,427,5276.0,512.0
705,247,2840.0,256.0
706,389,2732.0,256.0
707,357,2252.0,256.0
708,262,2708.0,256.0
709,444,6208.0,512.0
710,237,2904.0,256.0
711,320,2908.0,256.0
712,651,5928.0,512.0
713,329,2884.0,256.0
714,243,2328.0,256.0
715,313,3028.0,256.0
716,315,3064.0,256.0
717,346,3328.0,256.0
718,305,3484.0,256.0
719,389,3120.0,256.0
720,264,2672.0,256.0
721,275,1448.0,128.0
722,522,6864.0,512.0
723,303,2976.0,256.0
724,393,4660.0,512.0
725,366,1452.0,128.0
726,279,3120.0,256.0
727,343,2396.0,256.0
728,676,7092.0,512.0
729,231,2620.0,256.0
730,228,2632.0,256.0
731,252,3180.0,256.0
732,429,5348.0,512.0
733,292,2816.0,256.0
734,682,5820.0,512.0
735,468,5276.0,512.0
736,324,3032.0,256.0
737,369,4512.0,512.0
738,406,5304.0,512.0
739,316,3520.0,256.0
740,528,5200.0,512.0
741,450,5512.0,512.0
742,523,5292.0,512.0
743,215,2508.0,256.0
744,243,2344.0,256.0
745,370,4620.0,256.0
746,255,2956.0,256.0
747,397,5172.0,512.0
748,391,4980.0,512.0
749,748,7796.0,512.0
750,215,2424.0,256.0
751,200,1304.0,128.0
752,277,2528.0,256.0
753,318,4492.0,512.0
754,405,3172.0,256.0
755,238,1676.0,128.0
756,315,2964.0,256.0
757,193,1436.0,128.0
758,462,6292.0,512.0
759,471,5968.0,512.0
760,549,6992.0,512.0
761,432,5336.0,512.0
762,477,6940.0,512.0
